title,publication_year,cited_by_count,journal,type,primary_topic,keywords,doi
Soil quality indices and critical limits of indicators under long-term rice-based agroecosystems in subtropical India,2026,0,Frontiers in Soil Science,article,Soil Carbon and Nitrogen Dynamics,"['Vertisol', 'Soil quality', 'Inceptisol', 'Subtropics', 'Soil carbon', 'Soil test', 'Soil health', 'Agroecosystem', 'Soil water', 'Soil classification']",https://doi.org/10.3389/fsoil.2026.1918756
"A study of performance enhanced and fouling resistant functionalised multiwalled carbon nanotube embedded polysulfone nanocomposite membranes for efficient removal of proteins, polysaccharides, humic acid, and E. Coli",2026,0,Next Materials,article,Membrane Separation Technologies,"['Polysulfone', 'Membrane', 'Nanocomposite', 'Ultrafiltration (renal)', 'Fouling', 'Carbon nanotube', 'Filtration (mathematics)', 'Phase inversion', 'Membrane fouling']",https://doi.org/10.1016/j.nxmate.2026.103488
Exploring the phytoremediation capacity of Amaranthus species in trace metal(loid)-impacted terrestrial environments,2026,0,International Journal of Phytoremediation,article,Plant Stress Responses and Tolerance,"['Phytoremediation', 'Environmental remediation', 'Biomass (ecology)', 'Soil contamination', 'Ecosystem', 'Contamination', 'Phytoextraction process', 'Human health']",https://doi.org/10.1080/15226514.2026.2729102
Optimization of naringinase production by Bacillus megaterium CP026736 under solid-state fermentation,2026,0,Ceylon Journal of Science,article,Phytochemical compounds biological activities,"['Bacillus megaterium', 'Fermentation', 'Bran', 'Substrate (aquarium)', 'Enzyme assay']",https://doi.org/10.4038/cjs.v55i4.9132
"In vitro Vulnerability of Aspergillus niger, Aspergillus fumigatus, Pseudomonas aeruginosa and Xanthomonas campestris to Bioactivities of Garlic (Allium sativum) and Ginger (Zingiber officinale) Extracts",2026,0,RESEARCH JOURNAL OF FOOD SCIENCE AND QUALITY CONTROL,article,Garlic and Onion Studies,"['Aspergillus niger', 'Antimicrobial', 'Fungicide', 'Garlic Oil', 'Pseudomonas aeruginosa', 'Aspergillus fumigatus', 'Antibacterial activity', 'Xanthomonas campestris', 'Aspergillus']",https://doi.org/10.56201/rjfsqc.vol.11.no6.2025.pg12.20
Preparation and Characteristics of pH ‐Responsive Composite Packaging Films Based on Curcumin/Microcrystalline Cellulose/Polyvinyl Alcohol/Gelatin,2026,0,Journal of Applied Polymer Science,article,Nanocomposite Films for Food Packaging,"['Food packaging', 'Polyvinyl alcohol', 'Composite number', 'Distilled water', 'Microcrystalline cellulose', 'Casting', 'Biodegradation', 'Cellophane', 'Gelatin']",https://doi.org/10.1002/app.71515
Carbon dots in cancer therapy: a novel approach to targeted drug delivery and reduced toxicity in gallbladder cancer,2026,0,Frontiers in Chemistry,article,Carbon and Quantum Dots Applications,"['Drug delivery', 'Photothermal therapy', 'Cancer', 'Drug', 'Targeted drug delivery', 'Gallbladder cancer', 'Gallbladder', 'Targeted therapy', 'Photodynamic therapy']",https://doi.org/10.3389/fchem.2026.1899601
"Effects of Trichoderma Application on Vegetative Growth, Biomass Allocation and Root Morphology in Red Capia Pepper (Capsicum annuum L.)",2026,0,Turkish Journal of Agriculture - Food Science and Technology,article,Plant nutrient uptake and metabolism,"['Trichoderma harzianum', 'Pepper', 'Trichoderma', 'Biomass (ecology)', 'Vegetative reproduction', 'Root system', 'Inoculation', 'Shoot']",https://doi.org/10.24925/turjaf.v14i9.2578-2582.8962
"Effect of Feed Additives (E.G., Seaweed, Essential Oils) on Methane Emissions in Nigerian Dairy Cows",2026,0,RESEARCH JOURNAL OF FOOD SCIENCE AND QUALITY CONTROL,article,Seaweed-derived Bioactive Compounds,"['Methane', 'Methane emissions', 'Greenhouse gas', 'Dairy cattle', 'Essential oil', 'Straw', 'Greenhouse', 'Biomass (ecology)']",https://doi.org/10.56201/rjfsqc.vol.11.no7.2025.pg42.65
Suaeda maritima subsp. Salsa (L.) Soó extract attenuates hyperuricemic renal injury by inhibiting the MAPK/NF-κB/NLRP3 pathway,2026,0,Food Quality and Safety,article,"Gout, Hyperuricemia, Uric Acid","['Hyperuricemia', 'Uric acid', 'Reabsorption', 'Western blot', 'Xanthine oxidase', 'Organic anion transporter 1', 'Urate oxidase', 'Kidney']",https://doi.org/10.1093/fqsafe/fyag077
Sodium Hypochlorite Pentahydrate in Organic Synthesis and Beyond,2026,0,Chemistry - Methods,article,Oxidative Organic Chemistry Reactions,"['Sodium hypochlorite', 'Organic synthesis', 'Aqueous solution', 'Reagent', 'Oxidizing agent', 'Hypervalent molecule', 'Chlorine', 'Reactivity (psychology)']",https://doi.org/10.1002/cmtd.70158
Bioremediation of mining waste and tailings in Sub-Saharan Africa: a PRISMA-2020 evidence synthesis from bench to field,2026,0,Frontiers in Agronomy,article,Mine drainage and remediation techniques,"['Bioremediation', 'Tailings', 'Hyperaccumulator', 'Mycobiota', 'Bioleaching', 'Environmental remediation', 'Biomass (ecology)', 'Bioaugmentation']",https://doi.org/10.3389/fagro.2026.1939826
Influence of operational parameters on mixed pharmaceutical antibiotics removal from wastewater using Boron-doped diamond (BDD) electrooxidation,2026,0,Electrochimica Acta,article,Advanced oxidation water treatment,"['Wastewater', 'Diamond', 'Antibiotics', 'Electrochemistry', 'Sewage treatment']",https://doi.org/10.1016/j.electacta.2026.150004
Modeling the effects of livestock rotation frequency on forage production and soil carbon using a spatially explicit grazing distribution,2026,0,Carbon Management,article,Rangeland Management and Livestock Ecology,"['Grazing', 'Rangeland', 'Soil carbon', 'Forage', 'Conservation grazing', 'Ecosystem', 'Rangeland management', 'Livestock']",https://doi.org/10.1080/17583004.2026.2732593
"Synthesis, molecular dynamics, and antimicrobial evaluation of peptide-antibiotic conjugates designed for dual-mechanism pathogen inhibition",2026,0,Frontiers in Pharmacology,article,Antimicrobial Peptides and Activities,"['Norfloxacin', 'Conjugate', 'Antimicrobial', 'Prodrug', 'Antibiotics', 'Pathogen', 'Context (archaeology)', 'Broth microdilution']",https://doi.org/10.3389/fphar.2026.1927384
Production of Bakery Fat from Blends of Allanblackia floribunda (Vegetable Tallow) and Soybean (glycine max) Oil,2026,0,RESEARCH JOURNAL OF FOOD SCIENCE AND QUALITY CONTROL,article,Food Chemistry and Fat Analysis,"['Soybean oil', 'Water content', 'Water activity', 'Peroxide value', 'Melting point', 'Iodine value', 'Fatty acid', 'Polyunsaturated fatty acid']",https://doi.org/10.56201/rjfsqc.vol.11.no6.2025.pg21.40
Hierarchically porous Co–N–C catalysts from bimetallic Zn/Co zeolitic imidazolate frameworks for selective CO2 electroreduction to CO,2026,0,Frontiers in Chemistry,article,CO2 Reduction Techniques and Catalysts,"['Zeolitic imidazolate framework', 'Bimetallic strip', 'Catalysis', 'Faraday efficiency', 'Imidazolate', 'Electrochemistry', 'Selectivity', 'Pyrolysis', 'Electrolysis']",https://doi.org/10.3389/fchem.2026.1940515
An Automated Tool for Predicting Ion‐Molecule Reaction Rates in CI‐MS: Application to PCDDs and PCDFs,2026,0,Journal of Mass Spectrometry,article,Toxic Organic Pollutants Impact,"['Polarizability', 'Mass spectrometry', 'Chemical ionization', 'Enthalpy', 'Polychlorinated dibenzofurans', 'Ion', 'Gas chromatography', 'Reagent', 'Reaction rate']",https://doi.org/10.1002/jms.70112
Water regime-dependent effects of organic amendments on Cd/As accumulation and potential grain risk in rice,2026,0,Frontiers in Plant Science,article,Heavy metals in environment,"['Cadmium', 'Soil water', 'Amendment', 'Humic acid', 'Fulvic acid', 'Arsenic', 'Organic matter']",https://doi.org/10.3389/fpls.2026.1942050
"Effect of Microplastics on Water Quality and Oreochromis Niloticus (Nile Tilapia) In Jakara River, Kano State, Nigeria",2026,0,American Research Journal of Contemporary Issues,article,Microplastics and Plastic Pollution,"['Microplastics', 'Turbidity', 'Oreochromis', 'Water quality', 'Catalase', 'Pollution', 'Biochemical oxygen demand', 'Lipid peroxidation', 'Nitrate']",https://doi.org/10.46654/0aj8a380
From Inert N2 to Reactive Nitrate: A Comparative Analysis on Electrocatalytic Urea Synthesis via CO2 Coelectrolysis,2026,0,Langmuir,article,Ammonia Synthesis and Nitrogen Reduction,"['Catalysis', 'Reactivity (psychology)', 'Urea', 'Electrochemistry', 'Rational design', 'Substrate (aquarium)', 'Selectivity', 'Inert']",https://doi.org/10.1021/acs.langmuir.6c02719
Environmental drivers of body size plasticity and their consequences for reproductive fitness in Anopheles coluzzii,2026,0,Ceylon Journal of Science,article,Malaria Research and Control,"['Anopheles gambiae', 'Avian clutch size', 'Reproductive success', 'Phenotypic plasticity', 'Larva', 'Anopheles', 'Habitat', 'Sexual selection', 'Malaria']",https://doi.org/10.4038/cjs.v55i4.9693
Beyond behavioural models: equifinality and overparameterisation undermine confidence in predictions by soil organic matter models,2026,0,Geoscientific model development,article,Soil Carbon and Nitrogen Dynamics,"['Equifinality', 'Organic matter', 'Soil organic matter', 'Calibration', 'Particulates', 'Particulate organic matter']",https://doi.org/10.5194/gmd-19-8651-2026
Towards circularity in shellfish aquaculture: stimulating mussel shell dissolution in marine sediments,2026,0,Biogeosciences,article,Ocean Acidification Effects and Responses,"['Alkalinity', 'Dissolution', 'Mussel', 'Sediment', 'Calcium carbonate', 'Carbonate', 'Aragonite', 'Carbon dioxide', 'Mineralization (soil science)']",https://doi.org/10.5194/bg-23-6447-2026
"Exploring the Therapeutic Properties of Elaeagnus angustifolia: A Study on Its Antimicrobial, Antioxidant, and Cytotoxic Effects",2026,0,Turkish Journal of Agriculture - Food Science and Technology,article,Phytochemical and Pharmacological Studies,"['Antimicrobial', 'Cytotoxicity', 'Cytotoxic T cell', 'Bacillus megaterium', 'DPPH', 'MTT assay', 'Viability assay', 'Antioxidant']",https://doi.org/10.24925/turjaf.v14i9.2626-2635.8863
Enhancing CI engine performance and reducing emissions via fuel blend homogenization with organic co-solvents: a novel biofuel strategy,2026,0,Fuel,article,Biodiesel Production and Applications,"['Diesel fuel', 'Combustion', 'Thermal efficiency', 'Fuel efficiency', 'Thrust specific fuel consumption', 'Ternary operation', 'NOx', 'Brake specific fuel consumption', 'Ignition system']",https://doi.org/10.1016/j.fuel.2026.141305
A Structural Model of Students’ Science Identity in the Context of GenAI,2026,0,International Journal of Science and Mathematics Education,article,Science Education and Pedagogy,"['Science education', 'Identity (music)', 'Context (archaeology)', 'Construct (python library)', 'Social science education', 'Science, technology, society and environment education', 'Outline of social science', 'Discipline']",https://doi.org/10.1007/s10763-026-10723-6
"Assessment of the Relevance of Undergraduate Chemistry Curriculum to the Chemical-Based Industries in Ondo State, Nigeria",2026,0,INTERNATIONAL JOURNAL OF EDUCATION AND EVALUATION,article,Chemistry and Chemical Engineering,"['Curriculum', 'Relevance (law)', 'Quality (philosophy)', 'Industrial chemistry', 'Descriptive research', 'Descriptive statistics', 'Population', 'Chemistry education']",https://doi.org/10.56201/ijee.v12.no.1.2026.pg342.350
Global Research Trends on Mining Activities and Environmental Impacts,2026,0,Polish Journal of Environmental Studies,article,Mining and Resource Management,"['Tailings', 'Scopus', 'Thematic map', 'Thematic analysis', 'Sustainability', 'Life-cycle assessment', 'Function (biology)', 'Sustainable development']",https://doi.org/10.15244/pjoes/218915
An Undergraduate Laboratory Experiment for the Fabrication of ZIF-8 SURMOF Thin Films via Layer-by-Layer Self-Assembly,2026,0,Journal of Chemical Education,article,Metal-Organic Frameworks: Synthesis and Applications,"['Fabrication', 'Characterization (materials science)', 'Zeolitic imidazolate framework', 'Thin film', 'Deposition (geology)']",https://doi.org/10.1021/acs.jchemed.6c00750
A Self‐Enhancing Poly( o ‐phenylenediamine)@Glucose Oxidase Nanoplatform for ATP‐Modulated In Vitro Photothermal Therapy,2026,0,Chemistry - A European Journal,article,Nanoplatforms for cancer theranostics,"['Photothermal therapy', 'Glucose oxidase', 'Photothermal effect', 'In vitro', 'Adenosine triphosphate', 'Cancer cell', 'Heat shock protein', 'Gluconic acid']",https://doi.org/10.1002/chem.71698
A lipoprotein-biomimetic nanoplatform for oncogenic KRAS mutation-specific lysosome-targeting protein degradation,2026,0,Nature Communications,article,Protein Degradation and Inhibitors,"['Pinocytosis', 'KRAS', 'Reprogramming', 'Cancer cell', 'Protein degradation', 'Receptor', 'Epidermal growth factor receptor', 'Tumor microenvironment']",https://doi.org/10.1038/s41467-026-77697-5
Harnessing redox properties of organic persistent radicals in SET-induced transformations,2026,0,Beilstein Journal of Organic Chemistry,article,Radical Photochemical Reactions,"['Radical', 'Redox', 'Catalysis', 'Organic synthesis', 'Electrochemistry', 'Stoichiometry']",https://doi.org/10.3762/bjoc.22.102
Natural chromite ore as an efficient low-cost adsorbent for phosphate removal: mechanistic and kinetic insights,2026,0,Scientific Reports,article,Phosphorus and nutrient management,"['Adsorption', 'Chromite', 'Physisorption', 'Freundlich equation', 'Diffusion', 'Aqueous solution', 'Point of zero charge']",https://doi.org/10.1038/s41598-026-57685-x
Soil microbial community responses to pulp mill and municipal biosolid residuals in smelter-impacted soils,2026,0,Soil Research,article,Metal Extraction and Bioleaching,"['Biosolids', 'Soil water', 'Lime', 'Microbial population biology', 'Soil conditioner', 'Paper mill', 'Soil pH', 'Soil health', 'Soil organic matter', 'Context (archaeology)']",https://doi.org/10.1071/sr26007
A pomander challenge,2026,0,Analytical and Bioanalytical Chemistry,article,"Science, Research, and Medicine",[],https://doi.org/10.1007/s00216-026-06730-9
Radical Enhanced Phosphorescence From Perylene‐Trityl Dyad in Solution at Room Temperature,2026,0,Advanced Optical Materials,article,Organic Light-Emitting Diodes Research,"['Phosphorescence', 'Chromophore', 'Perylene', 'Electroluminescence', 'Intramolecular force', 'Triphenylene', 'Triplet state', 'Luminescence', 'Ultrafast laser spectroscopy']",https://doi.org/10.1002/adom.71803
Mitigation Potential of Vermicompost on Morphophysiological and Mineral Responses of Rocket (Eruca sativa L.) Under High Lead (Pb) Stress,2026,0,Turkish Journal of Agriculture - Food Science and Technology,article,Plant Stress Responses and Tolerance,"['Vermicompost', 'Dry weight', 'Lead (geology)', 'Stress (linguistics)', 'Rocket (weapon)']",https://doi.org/10.24925/turjaf.v14i9.2460-2472.8882
"Physico-Chemical Test and Microbiological Analysis of 4 Different Species of Beer made in BB Kara, TOGO",2026,0,RESEARCH JOURNAL OF FOOD SCIENCE AND QUALITY CONTROL,article,Food Science and Nutritional Studies,"['Brewing', 'Lactic acid', 'Alcohol', 'Alcohol content', 'Fermentation', 'Food spoilage']",https://doi.org/10.56201/rjfsqc.vol.11.no6.2025.pg1.11
Ionic liquid-assisted vs. green solvent-free synthesis of azaperone: a comparative optimization study,2026,0,Scientific Reports,article,Microwave-Assisted Synthesis and Applications,"['Yield (engineering)', 'Ionic liquid', 'Catalysis', 'Solvent', 'Thermal stability', 'Reaction conditions', 'Green chemistry', 'Atom economy', 'Viscosity']",https://doi.org/10.1038/s41598-026-72218-2
Programmable Zeno-Holonomic Reaction Darkspace (PZHRD): Toward Error-Corrected Logical Chemistry and Parallel Universal Nanofabrication,2026,0,Zenodo (CERN European Organization for Nuclear Research),article,Molecular Junctions and Nanostructures,"['Modular design', 'Holonomic', 'Abstraction', 'Fuzzy logic', 'Hamiltonian (control theory)', 'Unitary state']",https://doi.org/10.5281/zenodo.22813531
Programmable Zeno-Holonomic Reaction Darkspace (PZHRD): Toward Error-Corrected Logical Chemistry and Parallel Universal Nanofabrication,2026,0,Zenodo (CERN European Organization for Nuclear Research),article,Molecular Junctions and Nanostructures,"['Modular design', 'Holonomic', 'Abstraction', 'Fuzzy logic', 'Hamiltonian (control theory)', 'Unitary state']",https://doi.org/10.5281/zenodo.22813530
Cu-S bonded interfacial engineering of a bimetallic porphyrin MOF/sulfur-doped carbon nitride nanoflower heterojunction for enhanced photocatalytic H2 evolution,2026,0,Colloids and Surfaces A Physicochemical and Engineering Aspects,article,Advanced Photocatalysis Techniques,"['Nanoflower', 'Bimetallic strip', 'Heterojunction', 'Photocatalysis', 'Porphyrin', 'Carbon nitride', 'Carbon fibers']",https://doi.org/10.1016/j.colsurfa.2026.141844
"Proton-Coupled Electron Transfer Guidelines, Fair and Square",2026,0,UNC Libraries,article,Metal-Catalyzed Oxygenation Mechanisms,"['Proton-coupled electron transfer', 'Electron transfer', 'Hydrogen atom', 'Mechanism (biology)', 'Energy transfer', 'Concerted reaction', 'Transformation (genetics)']",https://doi.org/10.17615/xwpj-xj52
